Sport,SrcAddr,Dport,DstAddr,StartTime,Dur,Proto,State,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcLoad,DstLoad,SrcLoss,DstLoss,SIntPkt,DIntPkt,SrcJitter,DstJitter,TcpRtt,sMeanPktSz
43848,117.11.88.124,http,24.49.63.79,1701369808.295579,4.503816,tcp,CON,10,6,1989,2683,3.330509,3181.302246,3971.742920,0,0,,,,,0.000243,198.899994
60240,117.11.88.124,http,24.49.63.79,1701369812.753789,0.000622,tcp,CON,4,3,588,488,9646.301758,5672025.500000,4192926.000000,0,0,,,,,0.000192,147.000000
60240,117.11.88.124,http,24.49.63.79,1701369817.754497,0.000293,tcp,FIN,2,1,132,66,6825.938965,1802047.875000,0.000000,0,0,,,,,0.000192,66.000000
43848,117.11.88.124,http,24.49.63.79,1701369817.754546,0.000296,tcp,FIN,2,1,132,66,6756.756348,1783783.750000,0.000000,0,0,,,,,0.000243,66.000000
49896,117.11.88.124,http,24.49.63.79,1701369820.714442,0.321198,tcp,CON,4,3,656,1046,18.680067,12254.124023,17384.916016,0,0,,,,,0.000345,164.000000
49896,117.11.88.124,http,24.49.63.79,1701369826.036027,0.000242,tcp,FIN,2,1,132,66,8264.462891,2181818.250000,0.000000,0,0,,,,,0.000345,66.000000
49902,117.11.88.124,http,24.49.63.79,1701369826.697310,0.113801,tcp,CON,4,3,655,910,52.723614,34586.691406,42670.976562,0,0,,,,,0.000388,163.750000
49902,117.11.88.124,http,24.49.63.79,1701369831.811415,0.000280,tcp,FIN,2,1,132,66,7142.856934,1885714.250000,0.000000,0,0,,,,,0.000388,66.000000
48796,117.11.88.124,http,24.49.63.79,1701369835.217750,0.001435,tcp,CON,4,3,1510,430,4181.184570,6316376.500000,1600000.000000,0,0,,,,,0.000208,377.500000
48796,117.11.88.124,http,24.49.63.79,1701369840.219730,0.000382,tcp,FIN,2,1,132,66,5235.602051,1382199.000000,0.000000,0,0,,,,,0.000208,66.000000
47580,117.11.88.124,http,24.49.63.79,1701369858.053341,0.001223,tcp,CON,4,3,1508,436,4905.968750,7398201.000000,1903516.000000,0,0,,,,,0.000257,377.000000
47580,117.11.88.124,http,24.49.63.79,1701369863.055137,0.000278,tcp,FIN,2,1,132,66,7194.244629,1899280.625000,0.000000,0,0,,,,,0.000257,66.000000
36270,117.11.88.124,http,24.49.63.79,1701369865.830910,0.003216,tcp,CON,4,3,622,698,1865.671631,1161691.500000,1159204.000000,0,0,,,,,0.000213,155.500000
36270,117.11.88.124,http,24.49.63.79,1701369870.834277,0.000370,tcp,FIN,2,1,132,66,5405.405273,1427027.000000,0.000000,0,0,,,,,0.000213,66.000000
59340,117.11.88.124,http,24.49.63.79,1701369871.351492,0.003414,tcp,CON,4,3,616,698,1757.469238,1082601.125000,1091974.250000,0,0,,,,,0.000258,154.000000
59340,117.11.88.124,http,24.49.63.79,1701369876.356113,0.000253,tcp,FIN,2,1,132,66,7905.138184,2086956.500000,0.000000,0,0,,,,,0.000258,66.000000
59350,117.11.88.124,http,24.49.63.79,1701369877.159191,0.892080,tcp,CON,4,3,615,698,6.725854,4143.125977,4178.997559,0,0,,,,,0.000261,153.750000
59350,117.11.88.124,http,24.49.63.79,1701369883.051645,0.000333,tcp,FIN,2,1,132,66,6006.005859,1585585.625000,0.000000,0,0,,,,,0.000261,66.000000
50118,117.11.88.124,http,24.49.63.79,1701369883.493970,0.077552,tcp,CON,7,5,1485,2081,141.840317,131318.343750,171755.734375,0,0,,,,,0.000212,212.142853
50122,117.11.88.124,http,24.49.63.79,1701369883.524034,0.000748,tcp,CON,4,3,581,706,8021.390625,4663101.500000,5037433.000000,0,0,,,,,0.000169,145.250000
50134,117.11.88.124,http,24.49.63.79,1701369883.524570,0.000493,tcp,CON,4,3,583,800,12170.384766,7107504.500000,8665314.000000,0,0,,,,,0.000132,145.750000
50134,117.11.88.124,http,24.49.63.79,1701369888.525202,0.000411,tcp,FIN,2,1,132,66,4866.180176,1284671.625000,0.000000,0,0,,,,,0.000132,66.000000
50122,117.11.88.124,http,24.49.63.79,1701369888.525259,0.000406,tcp,FIN,2,1,132,66,4926.108398,1300492.625000,0.000000,0,0,,,,,0.000169,66.000000
50118,117.11.88.124,http,24.49.63.79,1701369888.525278,0.000360,tcp,FIN,2,1,132,66,5555.555664,1466666.625000,0.000000,0,0,,,,,0.000212,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369892.021317,0.424967,tcp,CON,3,2,620,140,9.412496,7793.546387,1317.749390,0,0,,,,,0.000397,206.666672
54448,24.49.63.79,http-alt,117.11.88.124,1701369892.449547,4.759165,tcp,CON,6,5,470,345,2.101209,658.939148,463.946960,0,0,,,,,0.000529,78.333336
54448,24.49.63.79,http-alt,117.11.88.124,1701369902.272357,0.000265,tcp,CON,2,3,276,207,15094.338867,4166037.500000,4166037.500000,0,0,,,,,0.000529,138.000000
46658,117.11.88.124,http,24.49.63.79,1701369902.447506,0.000098,tcp,CON,1,1,66,66,10204.082031,0.000000,0.000000,0,0,,,,,0.000397,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369912.687481,0.000101,tcp,CON,1,1,66,66,9900.990234,0.000000,0.000000,0,0,,,,,0.000397,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369922.927594,0.000144,tcp,CON,1,1,66,66,6944.444336,0.000000,0.000000,0,0,,,,,0.000397,66.000000
54448,24.49.63.79,http-alt,117.11.88.124,1701369926.205003,0.000091,tcp,CON,1,2,98,136,21978.021484,0.000000,5978022.000000,0,0,,,,,0.000529,98.000000
54448,24.49.63.79,http-alt,117.11.88.124,1701369932.561446,0.000241,tcp,CON,2,3,141,207,16597.509766,2356846.500000,4580913.000000,0,0,,,,,0.000529,70.500000
46658,117.11.88.124,http,24.49.63.79,1701369933.167623,0.000092,tcp,CON,1,1,66,66,10869.565430,0.000000,0.000000,0,0,,,,,0.000397,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369943.407586,0.000127,tcp,CON,1,1,66,66,7874.015137,0.000000,0.000000,0,0,,,,,0.000397,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369953.647569,0.000098,tcp,CON,1,1,66,66,10204.082031,0.000000,0.000000,0,0,,,,,0.000397,66.000000
54448,24.49.63.79,http-alt,117.11.88.124,1701369968.358991,0.000315,tcp,CON,3,3,3090,214,15873.015625,52317460.000000,3631746.000000,0,0,,,,,0.000529,1030.000000
54448,24.49.63.79,http-alt,117.11.88.124,1701369999.662741,0.009444,tcp,CON,65,67,4573,4476,13871.240234,3814485.250000,3735705.250000,0,0,,,,,0.000529,70.353844
54438,24.49.63.79,https,117.11.88.124,1701369999.662638,0.008868,tcp,FIN,5,4,500,470,902.120056,360848.000000,318448.375000,0,0,,,,,0.000204,100.000000
45256,117.11.88.124,http,24.49.63.79,1701370096.684415,0.055077,tcp,CON,6,4,1169,1418,163.407593,141619.906250,154547.265625,0,0,,,,,0.000250,194.833328
45268,117.11.88.124,http,24.49.63.79,1701370096.696855,0.000876,tcp,CON,4,3,632,706,6849.315430,4328767.000000,4301370.000000,0,0,,,,,0.000147,158.000000
45282,117.11.88.124,http,24.49.63.79,1701370096.697250,0.000747,tcp,CON,4,3,634,800,8032.128906,5097724.500000,5718875.500000,0,0,,,,,0.000099,158.500000
45282,117.11.88.124,http,24.49.63.79,1701370101.702202,0.000048,tcp,FIN,1,2,66,132,41666.664062,0.000000,11000000.000000,0,0,,,,,0.000099,66.000000
45268,117.11.88.124,http,24.49.63.79,1701370101.702309,0.000063,tcp,FIN,1,2,66,132,31746.031250,0.000000,8380952.500000,0,0,,,,,0.000147,66.000000
45256,117.11.88.124,http,24.49.63.79,1701370101.702337,0.000127,tcp,FIN,1,2,66,132,15748.030273,0.000000,4157480.000000,0,0,,,,,0.000250,66.000000
0,0,0,0,1731060456.967785,0.004099,man,STA,0,0,0,0,0.000000,0.000000,0.000000,0,0,,,,,0.000000,0.000000
43848,117.11.88.124,http,24.49.63.79,1701369808.295579,4.503816,tcp,CON,10,6,1989,2683,3.330509,3181.302246,3971.742920,0,0,,,,,0.000243,198.899994
60240,117.11.88.124,http,24.49.63.79,1701369812.753789,0.000622,tcp,CON,4,3,588,488,9646.301758,5672025.500000,4192926.000000,0,0,,,,,0.000192,147.000000
60240,117.11.88.124,http,24.49.63.79,1701369817.754497,0.000293,tcp,FIN,2,1,132,66,6825.938965,1802047.875000,0.000000,0,0,,,,,0.000192,66.000000
43848,117.11.88.124,http,24.49.63.79,1701369817.754546,0.000296,tcp,FIN,2,1,132,66,6756.756348,1783783.750000,0.000000,0,0,,,,,0.000243,66.000000
49896,117.11.88.124,http,24.49.63.79,1701369820.714442,0.321198,tcp,CON,4,3,656,1046,18.680067,12254.124023,17384.916016,0,0,,,,,0.000345,164.000000
49896,117.11.88.124,http,24.49.63.79,1701369826.036027,0.000242,tcp,FIN,2,1,132,66,8264.462891,2181818.250000,0.000000,0,0,,,,,0.000345,66.000000
49902,117.11.88.124,http,24.49.63.79,1701369826.697310,0.113801,tcp,CON,4,3,655,910,52.723614,34586.691406,42670.976562,0,0,,,,,0.000388,163.750000
49902,117.11.88.124,http,24.49.63.79,1701369831.811415,0.000280,tcp,FIN,2,1,132,66,7142.856934,1885714.250000,0.000000,0,0,,,,,0.000388,66.000000
48796,117.11.88.124,http,24.49.63.79,1701369835.217750,0.001435,tcp,CON,4,3,1510,430,4181.184570,6316376.500000,1600000.000000,0,0,,,,,0.000208,377.500000
48796,117.11.88.124,http,24.49.63.79,1701369840.219730,0.000382,tcp,FIN,2,1,132,66,5235.602051,1382199.000000,0.000000,0,0,,,,,0.000208,66.000000
47580,117.11.88.124,http,24.49.63.79,1701369858.053341,0.001223,tcp,CON,4,3,1508,436,4905.968750,7398201.000000,1903516.000000,0,0,,,,,0.000257,377.000000
47580,117.11.88.124,http,24.49.63.79,1701369863.055137,0.000278,tcp,FIN,2,1,132,66,7194.244629,1899280.625000,0.000000,0,0,,,,,0.000257,66.000000
36270,117.11.88.124,http,24.49.63.79,1701369865.830910,0.003216,tcp,CON,4,3,622,698,1865.671631,1161691.500000,1159204.000000,0,0,,,,,0.000213,155.500000
36270,117.11.88.124,http,24.49.63.79,1701369870.834277,0.000370,tcp,FIN,2,1,132,66,5405.405273,1427027.000000,0.000000,0,0,,,,,0.000213,66.000000
59340,117.11.88.124,http,24.49.63.79,1701369871.351492,0.003414,tcp,CON,4,3,616,698,1757.469238,1082601.125000,1091974.250000,0,0,,,,,0.000258,154.000000
59340,117.11.88.124,http,24.49.63.79,1701369876.356113,0.000253,tcp,FIN,2,1,132,66,7905.138184,2086956.500000,0.000000,0,0,,,,,0.000258,66.000000
59350,117.11.88.124,http,24.49.63.79,1701369877.159191,0.892080,tcp,CON,4,3,615,698,6.725854,4143.125977,4178.997559,0,0,,,,,0.000261,153.750000
59350,117.11.88.124,http,24.49.63.79,1701369883.051645,0.000333,tcp,FIN,2,1,132,66,6006.005859,1585585.625000,0.000000,0,0,,,,,0.000261,66.000000
50118,117.11.88.124,http,24.49.63.79,1701369883.493970,0.077552,tcp,CON,7,5,1485,2081,141.840317,131318.343750,171755.734375,0,0,,,,,0.000212,212.142853
50122,117.11.88.124,http,24.49.63.79,1701369883.524034,0.000748,tcp,CON,4,3,581,706,8021.390625,4663101.500000,5037433.000000,0,0,,,,,0.000169,145.250000
50134,117.11.88.124,http,24.49.63.79,1701369883.524570,0.000493,tcp,CON,4,3,583,800,12170.384766,7107504.500000,8665314.000000,0,0,,,,,0.000132,145.750000
50134,117.11.88.124,http,24.49.63.79,1701369888.525202,0.000411,tcp,FIN,2,1,132,66,4866.180176,1284671.625000,0.000000,0,0,,,,,0.000132,66.000000
50122,117.11.88.124,http,24.49.63.79,1701369888.525259,0.000406,tcp,FIN,2,1,132,66,4926.108398,1300492.625000,0.000000,0,0,,,,,0.000169,66.000000
50118,117.11.88.124,http,24.49.63.79,1701369888.525278,0.000360,tcp,FIN,2,1,132,66,5555.555664,1466666.625000,0.000000,0,0,,,,,0.000212,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369892.021317,0.424967,tcp,CON,3,2,620,140,9.412496,7793.546387,1317.749390,0,0,,,,,0.000397,206.666672
54448,24.49.63.79,http-alt,117.11.88.124,1701369892.449547,4.759165,tcp,CON,6,5,470,345,2.101209,658.939148,463.946960,0,0,,,,,0.000529,78.333336
54448,24.49.63.79,http-alt,117.11.88.124,1701369902.272357,0.000265,tcp,CON,2,3,276,207,15094.338867,4166037.500000,4166037.500000,0,0,,,,,0.000529,138.000000
46658,117.11.88.124,http,24.49.63.79,1701369902.447506,0.000098,tcp,CON,1,1,66,66,10204.082031,0.000000,0.000000,0,0,,,,,0.000397,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369912.687481,0.000101,tcp,CON,1,1,66,66,9900.990234,0.000000,0.000000,0,0,,,,,0.000397,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369922.927594,0.000144,tcp,CON,1,1,66,66,6944.444336,0.000000,0.000000,0,0,,,,,0.000397,66.000000
54448,24.49.63.79,http-alt,117.11.88.124,1701369926.205003,0.000091,tcp,CON,1,2,98,136,21978.021484,0.000000,5978022.000000,0,0,,,,,0.000529,98.000000
54448,24.49.63.79,http-alt,117.11.88.124,1701369932.561446,0.000241,tcp,CON,2,3,141,207,16597.509766,2356846.500000,4580913.000000,0,0,,,,,0.000529,70.500000
46658,117.11.88.124,http,24.49.63.79,1701369933.167623,0.000092,tcp,CON,1,1,66,66,10869.565430,0.000000,0.000000,0,0,,,,,0.000397,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369943.407586,0.000127,tcp,CON,1,1,66,66,7874.015137,0.000000,0.000000,0,0,,,,,0.000397,66.000000
46658,117.11.88.124,http,24.49.63.79,1701369953.647569,0.000098,tcp,CON,1,1,66,66,10204.082031,0.000000,0.000000,0,0,,,,,0.000397,66.000000
54448,24.49.63.79,http-alt,117.11.88.124,1701369968.358991,0.000315,tcp,CON,3,3,3090,214,15873.015625,52317460.000000,3631746.000000,0,0,,,,,0.000529,1030.000000
54448,24.49.63.79,http-alt,117.11.88.124,1701369999.662741,0.009444,tcp,CON,65,67,4573,4476,13871.240234,3814485.250000,3735705.250000,0,0,,,,,0.000529,70.353844
54438,24.49.63.79,https,117.11.88.124,1701369999.662638,0.008868,tcp,FIN,5,4,500,470,902.120056,360848.000000,318448.375000,0,0,,,,,0.000204,100.000000
45256,117.11.88.124,http,24.49.63.79,1701370096.684415,0.055077,tcp,CON,6,4,1169,1418,163.407593,141619.906250,154547.265625,0,0,,,,,0.000250,194.833328
45268,117.11.88.124,http,24.49.63.79,1701370096.696855,0.000876,tcp,CON,4,3,632,706,6849.315430,4328767.000000,4301370.000000,0,0,,,,,0.000147,158.000000
45282,117.11.88.124,http,24.49.63.79,1701370096.697250,0.000747,tcp,CON,4,3,634,800,8032.128906,5097724.500000,5718875.500000,0,0,,,,,0.000099,158.500000
45282,117.11.88.124,http,24.49.63.79,1701370101.702202,0.000048,tcp,FIN,1,2,66,132,41666.664062,0.000000,11000000.000000,0,0,,,,,0.000099,66.000000
45268,117.11.88.124,http,24.49.63.79,1701370101.702309,0.000063,tcp,FIN,1,2,66,132,31746.031250,0.000000,8380952.500000,0,0,,,,,0.000147,66.000000
45256,117.11.88.124,http,24.49.63.79,1701370101.702337,0.000127,tcp,FIN,1,2,66,132,15748.030273,0.000000,4157480.000000,0,0,,,,,0.000250,66.000000
